timestamp,strategy,llm_provider,model,product_id,daily_pnl,unrealized_pnl,num_trades,fees_paid,portfolio_value,open_positions
2026-02-15T22:33:46.571051+00:00,price_only,groq,openai/gpt-oss-120b,SOL-USDC,0.0,0.0,0,0.0,193.21009084185198,0
2026-02-15T23:05:26.933896+00:00,price_only,groq,openai/gpt-oss-120b,SOL-USDC,0.0,0.0,0,0.0,191.53911523445197,0
2026-02-16T00:05:27.869165+00:00,price_only,groq,openai/gpt-oss-120b,SOL-USDC,0.0,0.0,0,0.0,192.06679174205195,0
2026-02-16T01:05:28.917288+00:00,price_only,groq,openai/gpt-oss-120b,SOL-USDC,0.0,0.0,0,0.0,192.63844129195198,0
2026-02-16T02:05:29.918539+00:00,price_only,groq,openai/gpt-oss-120b,SOL-USDC,0.0,0.0,0,0.0,192.13275130550196,0
2026-02-16T02:13:28.292715+00:00,price_only,openrouter,moonshotai/kimi-k2.5,SOL-USDC,0.0,0.0,0,0.0,192.00083217860197,0
2026-02-16T02:46:51.779061+00:00,price_only,openrouter,moonshotai/kimi-k2.5,SOL-USDC,0.0,0.0,0,0.0,0.0,0
2026-02-16T02:48:18.017619+00:00,price_only,groq,openai/gpt-oss-120b,SOL-USDC,0.0,0.0,0,0.0,191.18733089605198,0
2026-02-16T03:03:45.104362+00:00,price_only,openrouter,moonshotai/kimi-k2.5,SOL-USDC,0.0,0.0,0,0.0,191.47315567100196,0
2026-02-16T03:03:56.256792+00:00,price_only,openrouter,moonshotai/kimi-k2.5,SOL-USDC,0.0,0.0,0,0.0,190.54972178270197,0
2026-02-16T03:16:34.326914+00:00,price_only,openrouter,moonshotai/kimi-k2.5,SOL-USDC,0.0,0.0,0,0.0,96.867604098902,0
2026-02-16T03:17:07.550428+00:00,price_only,openrouter,moonshotai/kimi-k2.5,SOL-USDC,0.0,0.0,0,0.0,96.768650592452,0
2026-02-16T04:17:08.405707+00:00,price_only,openrouter,moonshotai/kimi-k2.5,SOL-USDC,0.0,0.0,0,0.0,96.81262992865199,0
2026-02-16T05:17:09.270522+00:00,price_only,openrouter,moonshotai/kimi-k2.5,SOL-USDC,0.0,0.0,0,0.0,96.438805570952,0
2026-02-16T06:17:10.050978+00:00,price_only,openrouter,moonshotai/kimi-k2.5,SOL-USDC,0.0,0.0,0,0.0,96.174929553752,0
2026-02-16T07:17:10.894101+00:00,price_only,openrouter,moonshotai/kimi-k2.5,SOL-USDC,0.0,0.0,0,0.0,96.614722915752,0
2026-02-16T08:17:11.684258+00:00,price_only,openrouter,moonshotai/kimi-k2.5,SOL-USDC,0.0,0.0,0,0.0,96.460795239052,0
2026-02-16T09:17:12.577561+00:00,price_only,openrouter,moonshotai/kimi-k2.5,SOL-USDC,0.0,0.0,0,0.0,97.061113178182,0
2026-02-16T10:17:13.377097+00:00,price_only,openrouter,moonshotai/kimi-k2.5,SOL-USDC,0.0,0.0,0,0.0,97.373366465202,0
2026-02-16T11:17:14.299420+00:00,price_only,openrouter,moonshotai/kimi-k2.5,SOL-USDC,0.0,0.0,0,0.0,96.438805570952,0
